"asin","fnsku","product_name","fulfillment_center","country_code","longest_side","median_side","shortest_side","measurement_units","weight","weight_units","item_volume","volume_units","product_size_tier","average_quantity_on_hand","average_quantity_pending_removal","estimated_total_item_volume","month_of_charge","storage_rate","currency","estimated_monthly_storage_fee","dangerous_goods_storage_type","eligible_for_inventory_discount","qualifies_for_inventory_discount","total_incentive_fee_amount","breakdown_incentive_fee_amount","average_quantity_customer_orders"
"B08ZN9NFPK","X002UDBVHH","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (2 White)","ABE2","US","6.26","4.41","2.64","inches","0.26","pounds","0.0422","cubic feet","Standard-Size","1.0","0.0","0.0422","2023-01","0.83","USD","0.04","--","N","N","0.0","--","0.0"
"B07GLJ2YNF","X001X2JGO1","VNFLY Axe Keychain Hammer Keychain Hammer Key Ring, Cool Gifts for Men, Husband, Boyfriend","ABQ1","US","5.59","4.06","0.43","inches","0.07","pounds","0.0056","cubic feet","Standard-Size","8.16","0.0","0.0461","2023-01","0.83","USD","0.0383","--","N","N","0.0","--","0.0"
"B07JD2H5KC","X001X335DX","VNFLY Cute Keychain Lovely Animal Characters, Mini Figure Collection Playset, Plant Pot Craft Dollhouse Decoration, Cake Topper, Cake Decoration (2 x 1.4 inches)","ABQ1","US","4.65","3.31","0.94","inches","0.04","pounds","0.0084","cubic feet","Standard-Size","0.81","0.0","0.0068","2023-01","0.83","USD","0.0056","--","N","N","0.0","--","0.0"
"B07V1RBC2X","X0028O2PTV","VNFLY Hammer Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend (Silver)","ABQ1","US","4.53","3.46","0.87","inches","0.09","pounds","0.0079","cubic feet","Standard-Size","0.06","0.0","5.0E-4","2023-01","0.83","USD","4.0E-4","--","N","N","0.0","--","0.0"
"B07V5FRPQR","X0028QCO2R","VNFLY Glove Keychain Glove Key Ring, Cool Gifts for Men, Husband, Boyfriend","ABQ1","US","4.37","1.65","1.34","inches","0.12","pounds","0.0056","cubic feet","Standard-Size","0.1","0.0","5.0E-4","2023-01","0.83","USD","4.0E-4","--","N","N","0.0","--","0.0"
"B07XX7P9F6","X002BBZPYN","Nidavellir 2-Pack Magnetic Hammer Shaped Beer Opener and Glove Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend","ABQ1","US","6.46","5.28","2.2","inches","0.35","pounds","0.0434","cubic feet","Standard-Size","1.0","0.0","0.0406","2023-01","0.83","USD","0.0337","--","N","N","0.0","--","0.06"
"B07Z7G5PXZ","X002CIGNAF","365Home Glove Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend (Gold)","ABQ1","US","3.6","1.9","1.5","inches","0.15","pounds","0.0059","cubic feet","Standard-Size","0.52","0.0","0.0029","2023-01","0.83","USD","0.0024","--","N","N","0.0","--","0.03"
"B0B42L59Q7","X003A8B6O9","365Home Bowl Cozy Template 3 Sizes, Clear Acrylic Bowl Wrap, Sewing Pattern Templates for Quilting with Needle Set and Manual Instruction","ABQ1","US","13.66","10.47","1.3","inches","0.95","pounds","0.1076","cubic feet","Standard-Size","0.06","0.0","0.0069","2023-01","0.83","USD","0.0058","--","N","N","0.0","--","0.0"
"B0B42HXW3P","X003A8GAYP","365Home Bowl Cozy Template 3 Sizes, Clear Acrylic Bowl Wrap, Sewing Pattern Templates for Quilting with Needle Set and Manual Instruction","ABQ1","US","11.22","10.83","0.79","inches","0.77","pounds","0.0556","cubic feet","Standard-Size","1.03","0.0","0.0412","2023-01","0.83","USD","0.0342","--","N","N","0.0","--","0.32"
"B0BJ7HB8SC","X003FLNV5N","365Home 2-Pack Universal Bathtub Stopper with Drain Hair Catcher, Upgraded Bathroom Shower Drain Hair Trap, Pop-Up Drain Filter for 1.6 - 2.0 Inch","ABQ1","US","5.67","5.59","4.69","inches","0.93","pounds","0.086","cubic feet","Standard-Size","0.52","0.0","0.0388","2023-01","0.83","USD","0.0322","--","N","N","0.0","--","0.06"
"B0BJPWWT92","X003FSGFHH","365Home 8 Packs Macaron Mobile Phone Screen Cleaning Keychain Wipes, Eyeglass Brush Cleaner, Computer Laptop Cell Phone Screen Cleaner Tool - Glass Cleaning Cloth","ABQ1","US","3.66","2.91","1.5","inches","0.13","pounds","0.0092","cubic feet","Standard-Size","0.45","0.0","0.0042","2023-01","0.83","USD","0.0035","--","N","N","0.0","--","0.0"
"B0BJZT41VF","X003FVUB97","365Home 2-Pack Avocado Cutter Slicer and Pitter 3 in 1, Avocado Knife Cuber Peeler Dicer Tool","ABQ1","US","9.06","7.32","2.09","inches","0.29","pounds","0.0802","cubic feet","Standard-Size","1.97","0.0","0.1578","2023-01","0.83","USD","0.131","--","N","N","0.0","--","0.0"
"B0BMWZVTKR","X003IWFZDP","365Home 2-Pack Colorful Rotating Magic Ball Light, Magic Light Bulb with Sockets, Plug in Disco Ball Light Bulb for Home Room Dance Parties","ABQ1","US","7.95","6.06","4.29","inches","0.71","pounds","0.1196","cubic feet","Standard-Size","16.77","0.0","2.0063","2023-01","0.83","USD","1.6612","--","N","N","0.0","--","0.0"
"B0BNT3972V","X003K4UM4X","365Home 16 Packs Macaron Mobile Phone Screen Cleaning Keychain Wipes, Eyeglass Brush Cleaner, Computer Laptop Cell Phone Screen Cleaner Tool - Glass Cleaning Cloth","ABQ1","US","5.08","3.82","1.97","inches","0.26","pounds","0.0221","cubic feet","Standard-Size","0.52","0.0","0.0114","2023-01","0.83","USD","0.0095","--","N","N","0.0","--","0.0"
"B0BNQT3YN6","X003K54XY7","365Home 4-Packs Car Window Breaker Seatbelt Cutter, 3-in-1 Glass Breaker and Seat Belt Cutter, Car Emergency Escape Tool with User Manual for Land and Underwater (Black Red Blue Yellow)","ABQ1","US","6.69","5.0","2.44","inches","0.4","pounds","0.0472","cubic feet","Standard-Size","0.81","0.0","0.0335","2023-01","0.83","USD","0.0278","--","N","N","0.003793847446236559","FBA_NEW_SELECTION:0.0038","0.0"
"B0BG39X4ZF","X003K6AQYR","1TO3GO Dog Training Collar, No Pull Dog Collar with 4 Extra Links for Medium, Large and X-Large Dogs (A)","ABQ1","US","6.5","6.4","1.2","inches","0.45","pounds","0.0289","cubic feet","Standard-Size","1.19","0.0","0.0112","2023-01","0.83","USD","0.0093","--","N","N","0.019336917562724015","FBA_NEW_SELECTION:0.0193","0.0"
"B0BPHZT4JJ","X003KD945H","365Home 2-Pack 2 in 1 Silicone Charger Protector with Cord Wrap, iPhone Silicone Power Adapter Case, Snapback Charger Winder, Compatible with iPhone 12/13/14 Charger (Black & Pink)","ABQ1","US","4.13","3.31","1.46","inches","0.2","pounds","0.0116","cubic feet","Standard-Size","3.23","0.0","0.0291","2023-01","0.83","USD","0.0241","--","N","N","0.006803403708930704","FBA_NEW_SELECTION:0.0068","0.0"
"B0BPHZ362T","X003KD97CR","365Home 4-Pack 2 in 1 Silicone Charger Protector with Cord Wrap, iPhone Silicone Power Adapter Case, Snapback Charger Winder, Compatible with iPhone 12/13/14 Charger","ABQ1","US","8.31","6.02","1.42","inches","0.37","pounds","0.0411","cubic feet","Standard-Size","3.58","0.0","0.1034","2023-01","0.83","USD","0.0859","--","N","N","0.03632222628360215","FBA_NEW_SELECTION:0.0363","0.0"
