"snapshot-date","sku","fnsku","asin","product-name","condition","per-unit-volume","currency","volume-unit","country","qty-charged","amount-charged","surcharge-age-tier","rate-surcharge"
"2023-06-15T08:03:00+00:00","J5-PG59-MLTR","X002HF7C9J","B085KZBCLD","365Home Metal Hammer Keychain Hammer Key Ring, Cool Gifts for Men, Husband, Boyfriend","New","0.0065","USD","cubic_feet","US","5","0.14","331-365","0.028000000000000004"
"2023-06-15T08:02:00+00:00","H5-MZXZ-04N5","X002UDI1W5","B08ZNH2YZW","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (2 Black & 2 White)","New","0.0613","USD","cubic_feet","US","2","0.06","181-210","0.03"
"2023-06-15T08:02:00+00:00","2K-XVBD-O0R9","X002NATMU5","B08HWTQCLL","Nidavellir Shield Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend (Bronze)","New","0.0013","USD","cubic_feet","US","2","0.00","211-240","0.0"
"2023-06-15T08:02:00+00:00","QQ-PCQL-S43B","X002L0EXYR","B08CXG45F4","365Home 2-Pack Hammer Keychain and Axe Keychain, Cool Gifts for Men, Husband, Boyfriend","New","0.0152","USD","cubic_feet","US","8","0.06","181-210","0.0075"
"2023-06-15T08:02:00+00:00","J5-PG59-MLTR","X002HF7C9J","B085KZBCLD","365Home Metal Hammer Keychain Hammer Key Ring, Cool Gifts for Men, Husband, Boyfriend","New","0.0065","USD","cubic_feet","US","1","0.01","241-270","0.01"
"2023-06-15T08:01:00+00:00","UV-T1KY-367W","X0030CGYG5","B09FPZNRX9","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (2 Blacks)","New","0.0286","USD","cubic_feet","US","1","0.03","211-240","0.03"
"2023-06-15T08:01:00+00:00","KG-8JKR-RC81","X002UDIWNX","B08ZNJQ2CN","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (3 Black)","New","0.0764","USD","cubic_feet","US","1","0.04","181-210","0.04"
"2023-06-15T08:01:00+00:00","H5-MZXZ-04N5","X002UDI1W5","B08ZNH2YZW","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (2 Black & 2 White)","New","0.0613","USD","cubic_feet","US","1","0.06","211-240","0.06"
"2023-06-15T08:01:00+00:00","V6-9SRV-QZIZ","X002UDI1VV","B08ZNH5HQP","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (3 White)","New","0.0668","USD","cubic_feet","US","1","0.07","211-240","0.07"
"2023-06-15T08:01:00+00:00","CY-CI3D-CHYK","X002TM7I8Z","B08XWY4F7C","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (1 Black & 1 White)","New","0.0463","USD","cubic_feet","US","41","2.86","241-270","0.06944444444444445"
