"snapshot-date","sku","fnsku","asin","product-name","condition","per-unit-volume","currency","volume-unit","country","qty-charged","amount-charged","surcharge-age-tier","rate-surcharge"
"2023-10-15T08:03:00+00:00","Bathtub-1.3-1.6in","X003FLMCS5","B0BJ7GYQGD","365Home Universal Bathtub Stopper with Drain Hair Catcher, Upgraded Bathroom Shower Drain Hair Trap, Pop-Up Drain Filter for 1.3 - 1.6 Inch","No Listing","0.0386","USD","cubic_feet","US","1","0.15","271-300","0.15"
"2023-10-15T08:02:00+00:00","Bathtub-1.3-1.6in","X003FLMCS5","B0BJ7GYQGD","365Home Universal Bathtub Stopper with Drain Hair Catcher, Upgraded Bathroom Shower Drain Hair Trap, Pop-Up Drain Filter for 1.3 - 1.6 Inch","No Listing","0.0386","USD","cubic_feet","US","1","0.04","211-240","0.04"
"2023-10-15T08:02:00+00:00","CY-CI3D-CHYK","X002TM7I8Z","B08XWY4F7C","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom (1 Black & 1 White)","New","0.0463","USD","cubic_feet","US","1","0.05","211-240","0.05"
"2023-10-15T08:02:00+00:00","QQ-PCQL-S43B","X002L0EXYR","B08CXG45F4","365Home 2-Pack Hammer Keychain and Axe Keychain, Cool Gifts for Men, Husband, Boyfriend","New","0.0152","USD","cubic_feet","US","131","8.34","331-365","0.06333333333333334"
"2023-10-15T08:02:00+00:00","PQ-VAPU-PB7S","X002BC0MTF","B07XX87R29","Nidavellir 2-Pack Magnetic Hammer Shaped Beer Opener and Hammer Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend","New","0.0505","USD","cubic_feet","US","14","1.06","241-270","0.07571428571428572"
"2023-10-15T08:01:00+00:00","Bathtub-1.3-1.6in","X003FLMCS5","B0BJ7GYQGD","365Home Universal Bathtub Stopper with Drain Hair Catcher, Upgraded Bathroom Shower Drain Hair Trap, Pop-Up Drain Filter for 1.3 - 1.6 Inch","No Listing","0.0386","USD","cubic_feet","US","5","0.29","241-270","0.057999999999999996"
"2023-10-15T08:01:00+00:00","Template-set3","X003A8GAYP","B0B42HXW3P","365Home Bowl Cozy Template 3 Sizes, Bowl Cozy Pattern Template Cutting Ruler Set with 40 Pcs of Sewing Pin and Manual Instruction","New","0.0502","USD","cubic_feet","US","4","0.10","181-210","0.025"
"2023-10-15T08:01:00+00:00","N2-TZ76-G3JE","X002TMJW61","B08XWYR7PN","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (1 White)","New","0.0271","USD","cubic_feet","US","1","0.03","211-240","0.03"
"2023-10-15T08:01:00+00:00","CY-CI3D-CHYK","X002TM7I8Z","B08XWY4F7C","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom (1 Black & 1 White)","New","0.0463","USD","cubic_feet","US","37","7.20","331-365","0.19"
"2023-10-15T08:01:00+00:00","QQ-PCQL-S43B","X002L0EXYR","B08CXG45F4","365Home 2-Pack Hammer Keychain and Axe Keychain, Cool Gifts for Men, Husband, Boyfriend","New","0.0152","USD","cubic_feet","US","7","0.41","271-300","0.06"
"2023-10-15T08:01:00+00:00","PQ-VAPU-PB7S","X002BC0MTF","B07XX87R29","Nidavellir 2-Pack Magnetic Hammer Shaped Beer Opener and Hammer Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend","New","0.0505","USD","cubic_feet","US","1","0.05","211-240","0.05"
"2023-10-15T08:01:00+00:00","U5-FJS4-VBFN","X002BBZPYN","B07XX7P9F6","Nidavellir 2-Pack Magnetic Hammer Shaped Beer Opener and Glove Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend","New","0.0434","USD","cubic_feet","US","1","0.04","211-240","0.04"
"2023-10-15T08:01:00+00:00","5S-LEF4-2V5E","X001X2JGO1","B07GLJ2YNF","VNFLY Axe Keychain Hammer Keychain Hammer Key Ring, Cool Gifts for Men, Husband, Boyfriend","New","0.0056","USD","cubic_feet","US","1","0.02","271-300","0.02"
"2023-10-15T08:00:00+00:00","Screen-16packs","X003K4UM4X","B0BNT3972V","365Home 16 Packs Macaron Mobile Phone Screen Cleaning Keychain Wipes, Eyeglass Brush Cleaner, Computer Laptop Cell Phone Screen Cleaner Tool - Glass Cleaning Cloth","No Listing","0.0221","USD","cubic_feet","US","6","0.50","271-300","0.08333333333333333"
"2023-10-15T08:00:00+00:00","Screen-12packs","X003K4UJW3","B0BNSWKG5N","365Home 12 Packs Macaron Mobile Phone Screen Cleaning Keychain Wipes, Eyeglass Brush Cleaner, Computer Laptop Cell Phone Screen Cleaner Tool - Glass Cleaning Cloth","No Listing","0.0189","USD","cubic_feet","US","3","0.08","241-270","0.02666666666666667"
"2023-10-15T08:00:00+00:00","Bathtub-1.3-1.6in","X003FLMCS5","B0BJ7GYQGD","365Home Universal Bathtub Stopper with Drain Hair Catcher, Upgraded Bathroom Shower Drain Hair Trap, Pop-Up Drain Filter for 1.3 - 1.6 Inch","No Listing","0.0386","USD","cubic_feet","US","1","0.02","181-210","0.02"
"2023-10-15T08:00:00+00:00","Template-set3","X003A8GAYP","B0B42HXW3P","365Home Bowl Cozy Template 3 Sizes, Bowl Cozy Pattern Template Cutting Ruler Set with 40 Pcs of Sewing Pin and Manual Instruction","New","0.0502","USD","cubic_feet","US","538","26.99","211-240","0.05"
"2023-10-15T08:00:00+00:00","V6-9SRV-QZIZ","X002UDI1VV","B08ZNH5HQP","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (3 White)","New","0.0582","USD","cubic_feet","US","1","0.03","181-210","0.03"
"2023-10-15T08:00:00+00:00","N2-TZ76-G3JE","X002TMJW61","B08XWYR7PN","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (1 White)","New","0.0271","USD","cubic_feet","US","16","1.82","331-365","0.11399999999999999"
"2023-10-15T08:00:00+00:00","CY-CI3D-CHYK","X002TM7I8Z","B08XWY4F7C","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom (1 Black & 1 White)","New","0.0463","USD","cubic_feet","US","2","0.14","241-270","0.07"
"2023-10-15T08:00:00+00:00","QQ-PCQL-S43B","X002L0EXYR","B08CXG45F4","365Home 2-Pack Hammer Keychain and Axe Keychain, Cool Gifts for Men, Husband, Boyfriend","New","0.0152","USD","cubic_feet","US","8","0.49","301-330","0.06125"
