"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Oct 1, 2023 12:09:52 AM PDT","18800587351","Order","111-1587691-8975407","4pack-chargerprotector","365Home 4-Pack 2 in 1 Silicone Charger Protector with Cord Wrap, iPhone Power Adapter Case, Snapback Charger Winder, Compatible with iPhone 12/13/14 C","1","amazon.com","Standard Orders","Amazon","RIVERHEAD","NY","11901-5020","MarketplaceFacilitator","9.99","0.86","0","0","0","0","0","0","0","0","-0.86","-1.50","-3.47","0","0","5.02"
"Oct 1, 2023 12:12:12 AM PDT","18800587351","Order","113-4698717-3558666","Dumpling-2packs","365Home 2-Pack 2 in 1 Dumpling Maker Press, Dumpling Skin Maker Machine, Empanada Maker Press, Multifunctional DIY Manual Dumpling Press Mold Set (Ora","1","amazon.com","Standard Orders","Amazon","EATONTON","GA","31024-7211","MarketplaceFacilitator","17.99","1.44","6.99","0.56","0","0","0","0","0","0","-2.00","-2.70","-13.38","0","0","8.90"
"Oct 1, 2023 1:05:14 AM PDT","18800587351","Order","111-9464943-3187423","4pack-chargerprotector","365Home 4-Pack 2 in 1 Silicone Charger Protector with Cord Wrap, iPhone Power Adapter Case, Snapback Charger Winder, Compatible with iPhone 12/13/14 C","1","amazon.com","Standard Orders","Amazon","JOHNSTOWN","CO","80534-9517","MarketplaceFacilitator","9.99","0.29","0","0","0","0","0","0","0","0","-0.29","-1.50","-3.47","0","0","5.02"
"Oct 1, 2023 1:20:06 AM PDT","18800587351","Order","111-9066416-6604245","QQ-PCQL-S43B","365Home 2-Pack Hammer Keychain and Axe Keychain, Cool Gifts for Men, Husband, Boyfriend","1","amazon.com","Standard Orders","Amazon","Peachtree Corners","ga","30092","MarketplaceFacilitator","8.99","0.54","0","0","0","0","0","0","0","0","-0.54","-1.35","-3.09","0","0","4.55"
"Oct 1, 2023 1:20:48 AM PDT","18800587351","Order","112-0666404-4861026","Template-set3","365Home Bowl Cozy Template 3 Sizes, Bowl Cozy Pattern Template Cutting Ruler Set with 40 Pcs of Sewing Pin and Manual Instruction","1","amazon.com","Standard Orders","Amazon","MORGAN HILL","CA","95037-5275","MarketplaceFacilitator","11.99","1.09","0","0","0","0","0","0","0","0","-1.09","-1.80","-3.58","0","0","6.61"
"Oct 1, 2023 1:30:56 AM PDT","18800587351","Order","111-4714868-0561049","CY-CI3D-CHYK","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks","1","amazon.com","Standard Orders","Amazon","MANHATTAN","KS","66503-7538","MarketplaceFacilitator","6.39","0.58","0","0","0","0","0","0","0","0","-0.58","-0.96","-3.47","0","0","1.96"
"Oct 1, 2023 1:49:16 AM PDT","18800587351","FBA Customer Return Fee","114-1345405-7311434","X003SMOTOB","FBA Customer Return Per Unit Fee","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Oct 1, 2023 1:51:14 AM PDT","18800587351","Order","114-4487406-6961051","Template-set3","365Home Bowl Cozy Template 3 Sizes, Bowl Cozy Pattern Template Cutting Ruler Set with 40 Pcs of Sewing Pin and Manual Instruction","1","amazon.com","Standard Orders","Amazon","BALDWIN","MD","21013-9100","MarketplaceFacilitator","11.99","0.72","0","0","0","0","0","0","0","0","-0.72","-1.80","-3.58","0","0","6.61"
"Oct 1, 2023 1:55:39 AM PDT","18800587351","Order","114-6959825-6702661","PC-2FK6-37QC","1TO3GO Pet Grooming Gloves Pet Hair Remover Cat, Dog Washing Gloves Silicone Heat Resistant Cleaning Gloves with High-Density Teeth Grooming Gloves fo","1","amazon.com","Standard Orders","Amazon","PITTSBURGH","PA","15210-2221","MarketplaceFacilitator","18.99","1.14","0","0","0","0","0","0","0","0","-1.14","-2.85","-5.69","0","0","10.45"
"Oct 1, 2023 1:56:47 AM PDT","18800587351","Order","113-2371913-1338658","2pack-chargerprotector-white&gray","365Home 2-Pack 2 in 1 Silicone Charger Protector with Cord Wrap, iPhone Silicone Power Adapter Case, Snapback Charger Winder, Compatible with iPhone 1","1","amazon.com","Standard Orders","Amazon","DALLAS","TX","75238-2206","MarketplaceFacilitator","8.99","0.74","0","0","0","0","0","0","0","0","-0.74","-1.35","-3.09","0","0","4.55"
