"Date","FNSKU","ASIN","MSKU","Title","Event Type","Reference ID","Quantity","Fulfillment Center","Disposition","Reason","Country","Reconciled Quantity","Unreconciled Quantity","Date and Time"
"10/31/2023","X003YTO5KV","B0CJ2ZBK9Q","Headphone Organizer- 4Pack","365Home 4-Pack Upgrade Silicone Headphone Organizer, Data Cable Storage Case, Portable Wired Earphone Pouch for Cell Phone Accessories, Storing Earbud, USB Flash Driver, Keys, Mini Lipstick","WhseTransfers","","-1","DEN4","SELLABLE",,"US","","","2023-10-31T00:00:00-0700"
"10/31/2023","X003YTO5KV","B0CJ2ZBK9Q","Headphone Organizer- 4Pack","365Home 4-Pack Upgrade Silicone Headphone Organizer, Data Cable Storage Case, Portable Wired Earphone Pouch for Cell Phone Accessories, Storing Earbud, USB Flash Driver, Keys, Mini Lipstick","WhseTransfers","","1","DEN3","SELLABLE",,"US","","","2023-10-31T00:00:00-0700"
"10/31/2023","X003YTO5KV","B0CJ2ZBK9Q","Headphone Organizer- 4Pack","365Home 4-Pack Upgrade Silicone Headphone Organizer, Data Cable Storage Case, Portable Wired Earphone Pouch for Cell Phone Accessories, Storing Earbud, USB Flash Driver, Keys, Mini Lipstick","Shipments","","-1","CMH1","SELLABLE",,"US","","","2023-10-31T00:00:00-0700"
"10/31/2023","X003YTJNVR","B0CJ2ZCVL2","Headphone Organizer- White-Gray","365Home 2-Pack Upgrade Silicone Headphone Organizer, Data Cable Storage Case, Portable Wired Earphone Pouch for Cell Phone Accessories, Storing Earbud, USB Flash Driver, Keys, Mini Lipstick","Shipments","","-1","ACY1","SELLABLE",,"US","","","2023-10-31T00:00:00-0700"
"10/31/2023","X003YRON5P","B0CHY6VZ3B","Sport-Bowl-Black","VNFLY Upgrade Snack Bowl for Stanley 40 oz Tumbler with 5 Compartments, Stanley Cup Snack Tray, Silicone Reusable Stanley Cup Snack Holder, Stanley Bowl Accessories (Black)","Shipments","","-1","CMH1","SELLABLE",,"US","","","2023-10-31T00:00:00-0700"
"10/31/2023","X003YRL9PR","B0CHY6YG5S","Sport-Bowl-Beige","VNFLY Upgrade Snack Bowl for Stanley Cup 40 oz Tumbler with 5 Compartments, Stanley Cup Snack Tray, Silicone Reusable Stanley Cup Snack Holder, Stanley Bowl Accessories (Beige)","Shipments","","-1","SMF1","SELLABLE",,"US","","","2023-10-31T00:00:00-0700"
"10/31/2023","X003X2UYJP","B0CDP8VJ2T","XQ-0Y06-30OS","365Home Kebab Maker Mould Plastic Kabob Maker Press Barbecue Meat Skewer Kebab Maker BBQ Gadget (Green)","WhseTransfers","","1","CMH1","SELLABLE",,"US","","","2023-10-31T00:00:00-0700"
"10/31/2023","X003U37QST","B0C68ZR18G","Auto-Bag-Suede-Black-Set","CONEATI Car Storage Pocket Organizer Between Seats Purse Holder for Car Between front Seats Car Handbag Holder with 4 Pcs Seat Headrest Hook, 2 Pcs Cup Holder Coaster and 2 Pcs Seat Belt Cover","WhseTransfers","","-1","PSP1","SELLABLE",,"US","","","2023-10-31T00:00:00-0700"
"10/31/2023","X003U37QST","B0C68ZR18G","Auto-Bag-Suede-Black-Set","CONEATI Car Storage Pocket Organizer Between Seats Purse Holder for Car Between front Seats Car Handbag Holder with 4 Pcs Seat Headrest Hook, 2 Pcs Cup Holder Coaster and 2 Pcs Seat Belt Cover","VendorReturns","","-1","PHX6","CUSTOMER_DAMAGED",,"US","","","2023-10-31T00:00:00-0700"
"10/31/2023","X003U37QST","B0C68ZR18G","Auto-Bag-Suede-Black-Set","CONEATI Car Storage Pocket Organizer Between Seats Purse Holder for Car Between front Seats Car Handbag Holder with 4 Pcs Seat Headrest Hook, 2 Pcs Cup Holder Coaster and 2 Pcs Seat Belt Cover","WhseTransfers","","1","GYR1","SELLABLE",,"US","","","2023-10-31T00:00:00-0700"
