"snapshot-date","sku","fnsku","asin","product-name","condition","qty-charged-long-time-range-long-term-storage-fee","per-unit-volume","currency","long-time-range-long-term-storage-fee","qty-charged-short-time-range-long-term-storage-fee","short-time-range-long-term-storage-fee","volume-unit","country","enrolled-in-small-and-light"
"2022-08-15T08:00:00+00:00","0Z-33T9-6PI6","X002YLXCWH","B099RJXH91","365Home Bamboo Silverware Organizer Flatware Utensil Caddy Bamboo Utensil Holder Wooden Cutlery Holder with Bamboo Tray for Kitchen Countertop Farmhouse (Not Icon)","New","0","0.2287","USD","0.00","6","2.06","cubic_feet","US","N"
"2022-08-15T08:00:00+00:00","XL-F93L-7S54","X002WXRCOB","B0964NB55Q","365Home Bamboo Silverware Organizer Flatware Utensil Caddy Bamboo Utensil Holder Wooden Cutlery Holder with Bamboo Tray for Kitchen Countertop Farmhouse (Forks, Chopsticks, Spoons)","New","0","0.225","USD","0.00","18","6.09","cubic_feet","US","N"
