"snapshot-date","sku","fnsku","asin","product-name","condition","per-unit-volume","currency","volume-unit","country","qty-charged","amount-charged","surcharge-age-tier","rate-surcharge"
"2023-08-15T08:04:00+00:00","QQ-PCQL-S43B","X002L0EXYR","B08CXG45F4","365Home 2-Pack Hammer Keychain and Axe Keychain, Cool Gifts for Men, Husband, Boyfriend","New","0.0152","USD","cubic_feet","US","1","0.01","181-210","0.01"
"2023-08-15T08:04:00+00:00","5S-LEF4-2V5E","X001X2JGO1","B07GLJ2YNF","VNFLY Axe Keychain Hammer Keychain Hammer Key Ring, Cool Gifts for Men, Husband, Boyfriend","New","0.0056","USD","cubic_feet","US","2","0.01","181-210","0.005"
"2023-08-15T08:03:00+00:00","H5-MZXZ-04N5","X002UDI1W5","B08ZNH2YZW","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (2 Black & 2 White)","New","0.0613","USD","cubic_feet","US","1","0.03","181-210","0.03"
"2023-08-15T08:03:00+00:00","QQ-PCQL-S43B","X002L0EXYR","B08CXG45F4","365Home 2-Pack Hammer Keychain and Axe Keychain, Cool Gifts for Men, Husband, Boyfriend","New","0.0152","USD","cubic_feet","US","8","0.18","241-270","0.0225"
"2023-08-15T08:03:00+00:00","5S-LEF4-2V5E","X001X2JGO1","B07GLJ2YNF","VNFLY Axe Keychain Hammer Keychain Hammer Key Ring, Cool Gifts for Men, Husband, Boyfriend","New","0.0056","USD","cubic_feet","US","1","0.02","301-330","0.02"
"2023-08-15T08:02:00+00:00","Template-set3-cut1","X003A8B6O9","B0B42L59Q7","365Home Bowl Cozy Template 3 Sizes, Bowl Cozy Pattern Template, Bowl Cozy Template Cutting Ruler Set with 40 Pcs of Sewing Pin, Roller Cutter and Manual Instruction","New","0.1076","USD","cubic_feet","US","1","0.05","181-210","0.05"
"2023-08-15T08:02:00+00:00","UV-T1KY-367W","X0030CGYG5","B09FPZNRX9","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (2 Blacks)","New","0.0286","USD","cubic_feet","US","2","0.03","181-210","0.015"
"2023-08-15T08:02:00+00:00","H5-MZXZ-04N5","X002UDI1W5","B08ZNH2YZW","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (2 Black & 2 White)","New","0.0613","USD","cubic_feet","US","2","0.19","241-270","0.09"
"2023-08-15T08:02:00+00:00","V6-9SRV-QZIZ","X002UDI1VV","B08ZNH5HQP","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (3 White)","New","0.0668","USD","cubic_feet","US","1","0.25","271-300","0.25"
"2023-08-15T08:02:00+00:00","CY-CI3D-CHYK","X002TM7I8Z","B08XWY4F7C","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (1 Black & 1 White)","New","0.0463","USD","cubic_feet","US","2","0.05","181-210","0.025"
"2023-08-15T08:02:00+00:00","QQ-PCQL-S43B","X002L0EXYR","B08CXG45F4","365Home 2-Pack Hammer Keychain and Axe Keychain, Cool Gifts for Men, Husband, Boyfriend","New","0.0152","USD","cubic_feet","US","8","0.46","271-300","0.0575"
"2023-08-15T08:02:00+00:00","YM-DCJF-STWH","X002BBZ4MB","B07XM2WL3W","Nidavellir 2-Pack Fist Beer Opener and Glove Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend","New","0.032","USD","cubic_feet","US","1","0.03","211-240","0.03"
"2023-08-15T08:02:00+00:00","39-FTKS-BM89","X0026HUHVX","B07RYPBYPV","VNFLY Magnetic Hammer Shaped Beer Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend (Silver)","New","0.0325","USD","cubic_feet","US","1","0.05","241-270","0.05"
"2023-08-15T08:02:00+00:00","5S-LEF4-2V5E","X001X2JGO1","B07GLJ2YNF","VNFLY Axe Keychain Hammer Keychain Hammer Key Ring, Cool Gifts for Men, Husband, Boyfriend","New","0.0056","USD","cubic_feet","US","1","0.02","331-365","0.02"
"2023-08-15T08:01:00+00:00","2-pack-Lampnew-360socket","X003IWFZDP","B0BMWZVTKR","365Home Colorful Rotating Magic Ball Light, 2-Pack Magic Light Bulb with Sockets, Plug in Disco Ball Light Bulb for Home Room Dance Parties","New","0.1196","USD","cubic_feet","US","2","0.12","181-210","0.06"
"2023-08-15T08:01:00+00:00","Lamp-socket-360socket","X003FFCYHZ","B0BG8CXVYP","365Home Colorful Rotating Magic Ball Light, 2-Pack Magic Light Bulb with Sockets, Plug in Disco Ball Light Bulb for Home Room Dance Parties","New","0.097","USD","cubic_feet","US","4","0.19","181-210","0.0475"
"2023-08-15T08:01:00+00:00","Template-set3-cut1","X003A8B6O9","B0B42L59Q7","365Home Bowl Cozy Template 3 Sizes, Bowl Cozy Pattern Template, Bowl Cozy Template Cutting Ruler Set with 40 Pcs of Sewing Pin, Roller Cutter and Manual Instruction","New","0.1076","USD","cubic_feet","US","3","1.29","301-330","0.43"
"2023-08-15T08:01:00+00:00","UV-T1KY-367W","X0030CGYG5","B09FPZNRX9","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (2 Blacks)","New","0.0286","USD","cubic_feet","US","1","0.11","271-300","0.11"
"2023-08-15T08:01:00+00:00","H5-MZXZ-04N5","X002UDI1W5","B08ZNH2YZW","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (2 Black & 2 White)","New","0.0613","USD","cubic_feet","US","1","0.23","271-300","0.23"
"2023-08-15T08:01:00+00:00","V6-9SRV-QZIZ","X002UDI1VV","B08ZNH5HQP","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (3 White)","New","0.0668","USD","cubic_feet","US","1","0.03","181-210","0.03"
