"snapshot-date","sku","fnsku","asin","product-name","condition","per-unit-volume","currency","volume-unit","country","qty-charged","amount-charged","surcharge-age-tier","rate-surcharge"
"2023-09-15T08:03:00+00:00","H5-MZXZ-04N5","X002UDI1W5","B08ZNH2YZW","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom (2 Black & 2 White)","New","0.0606","USD","cubic_feet","US","1","0.06","211-240","0.06"
"2023-09-15T08:03:00+00:00","V6-9SRV-QZIZ","X002UDI1VV","B08ZNH5HQP","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (3 White)","New","0.0582","USD","cubic_feet","US","1","0.23","301-330","0.23"
"2023-09-15T08:03:00+00:00","CY-CI3D-CHYK","X002TM7I8Z","B08XWY4F7C","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom (1 Black & 1 White)","New","0.0463","USD","cubic_feet","US","1","0.02","181-210","0.02"
"2023-09-15T08:02:00+00:00","2-pack-Lampnew-360socket","X003IWFZDP","B0BMWZVTKR","365Home Colorful Rotating Magic Ball Light, 2-Pack Magic Light Bulb with Sockets, Plug in Disco Ball Light Bulb for Home Room Dance Parties","New","0.1196","USD","cubic_feet","US","3","0.54","241-270","0.18000000000000002"
"2023-09-15T08:02:00+00:00","UV-T1KY-367W","X0030CGYG5","B09FPZNRX9","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (2 Blacks)","New","0.0286","USD","cubic_feet","US","2","0.24","331-365","0.12"
"2023-09-15T08:02:00+00:00","H5-MZXZ-04N5","X002UDI1W5","B08ZNH2YZW","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom (2 Black & 2 White)","New","0.0606","USD","cubic_feet","US","1","0.24","301-330","0.24"
"2023-09-15T08:02:00+00:00","V6-9SRV-QZIZ","X002UDI1VV","B08ZNH5HQP","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (3 White)","New","0.0582","USD","cubic_feet","US","1","0.06","211-240","0.06"
"2023-09-15T08:02:00+00:00","CY-CI3D-CHYK","X002TM7I8Z","B08XWY4F7C","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom (1 Black & 1 White)","New","0.0463","USD","cubic_feet","US","2","0.09","211-240","0.045"
"2023-09-15T08:02:00+00:00","QQ-PCQL-S43B","X002L0EXYR","B08CXG45F4","365Home 2-Pack Hammer Keychain and Axe Keychain, Cool Gifts for Men, Husband, Boyfriend","New","0.0152","USD","cubic_feet","US","8","0.48","301-330","0.06"
"2023-09-15T08:01:00+00:00","2-pack-Lampnew-360socket","X003IWFZDP","B0BMWZVTKR","365Home Colorful Rotating Magic Ball Light, 2-Pack Magic Light Bulb with Sockets, Plug in Disco Ball Light Bulb for Home Room Dance Parties","New","0.1196","USD","cubic_feet","US","1","0.06","181-210","0.06"
