"asin","fnsku","product_name","fulfillment_center","country_code","longest_side","median_side","shortest_side","measurement_units","weight","weight_units","item_volume","volume_units","product_size_tier","average_quantity_on_hand","average_quantity_pending_removal","estimated_total_item_volume","month_of_charge","storage_utilization_ratio","storage_utilization_ratio_units","base_rate","utilization_surcharge_rate","currency","estimated_monthly_storage_fee","dangerous_goods_storage_type","eligible_for_inventory_discount","qualifies_for_inventory_discount","total_incentive_fee_amount","breakdown_incentive_fee_amount","average_quantity_customer_orders"
"B07JD2H5KC","X001X335DX","VNFLY Cute Keychain Lovely Animal Characters, Mini Figure Collection Playset, Plant Pot Craft Dollhouse Decoration, Cake Topper, Cake Decoration (2 x 1.4 inches)","ABQ1","US","4.65","3.31","0.94","inches","0.04","pounds","0.0084","cubic feet","Standard-Size","0.83","0.0","0.0067","2023-11","11.7","weeks","2.4","0.0","USD","0.0161","--","N","N","0.0","--","0.03"
"B07XX85V64","X002BBZSCH","Nidavellir Fist Beer Opener and Bronze Hammer Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend","ABQ1","US","5.75","3.46","2.36","inches","0.56","pounds","0.0272","cubic feet","Standard-Size","0.7","0.0","0.0191","2023-11","11.7","weeks","2.4","0.0","USD","0.0457","--","N","N","0.0","--","0.0"
"B07XX6TFN3","X002BC0MVN","Nidavellir 2-Pack Magnetic Hammer Shaped Beer Opener and Bronze Hammer Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend","ABQ1","US","9.61","5.0","2.09","inches","0.44","pounds","0.0581","cubic feet","Standard-Size","1.0","0.0","0.0581","2023-11","11.7","weeks","2.4","0.0","USD","0.1395","--","N","N","0.0","--","0.0"
"B07Y2C5KM3","X002BGVME5","365Home 3-Pack Silver Hammer Keychain Bronze Glove Keychain Silver Axe Keychain, Cool Gifts for Men, Husband, Boyfriend","ABQ1","US","5.08","3.31","0.94","inches","0.28","pounds","0.0092","cubic feet","Standard-Size","0.03","0.0","3.0E-4","2023-11","11.7","weeks","2.4","0.0","USD","7.0E-4","--","N","N","0.0","--","0.0"
"B08Y5PSHJ9","X002TPQ8ZL","365Home Multifunction Barbecue Meat Skewer Machine BBQ Meat String Device Quick Portable Meat Skewer Box Easy Skewer Tools Kebab Maker BBQ Gadget","ABQ1","US","7.4","5.24","1.61","inches","0.24","pounds","0.0361","cubic feet","Standard-Size","1.0","0.0","0.0361","2023-11","11.7","weeks","2.4","0.0","USD","0.0867","--","N","N","0.0","--","0.0"
"B0BNQT3YN6","X003K54XY7","365Home 4-Packs Car Window Breaker Seatbelt Cutter, 3-in-1 Glass Breaker and Seat Belt Cutter, Car Emergency Escape Tool with User Manual for Land and Underwater (Black Red Blue Yellow)","ABQ1","US","7.44","5.24","2.44","inches","0.4","pounds","0.055","cubic feet","Standard-Size","6.3","0.0","0.2825","2023-11","11.7","weeks","2.4","0.0","USD","0.678","--","N","N","0.1323013637037037","COVID-19:0.1323","0.17"
"B0BPHXQM78","X003KD711B","365Home 2-Pack 2 in 1 Silicone Charger Protector with Cord Wrap, iPhone Silicone Power Adapter Case, Snapback Charger Winder, Compatible with iPhone 12/13/14 Charger (Charger not Included)","ABQ1","US","4.49","3.5","1.57","inches","0.22","pounds","0.0143","cubic feet","Standard-Size","0.1","0.0","0.001","2023-11","11.7","weeks","2.4","0.0","USD","0.0023","--","N","N","0.0","--","0.03"
"B0BPHZ362T","X003KD97CR","365Home 4-Pack 2 In 1 Silicone Charger Protector with Cord Wrap, Iphone Silicone Power Adapter Case, Snapback Charger Winder, Compatible with 18W/20W Charger - 1.65 x 1.1 inches (Charger not Included)","ABQ1","US","8.27","5.83","1.46","inches","0.35","pounds","0.0407","cubic feet","Standard-Size","0.07","0.0","0.0027","2023-11","11.7","weeks","2.4","0.0","USD","0.0065","--","N","N","0.0","--","0.0"
"B0C5976FHZ","X003TO2KL7","VNFLY 3-Pack Automatic Rebound Abdominal Wheel, Ab Roller Wheel Automatic Rebound with 2 Knee Pads, 2 Push-up Bars, 2 Resistance Bands, and Detailed Traning Guide","ABQ1","US","11.57","8.54","7.52","inches","4.94","pounds","0.43","cubic feet","Standard-Size","13.7","0.0","5.891","2023-11","11.7","weeks","2.4","0.0","USD","14.1357","--","N","N","0.0","--","0.0"
"B0C594LFN6","X003TOBEQT","VNFLY Ab Roller Automatic Rebound Abdominal Wheel Kit, Abs Workout Equipment, Ab Wheel Roller for Core Workout with 2 Knee Pads and User Manual","ABQ1","US","10.31","7.24","7.2","inches","3.26","pounds","0.311","cubic feet","Standard-Size","0.9","0.0","0.2799","2023-11","11.7","weeks","2.4","0.0","USD","0.6718","--","N","N","0.0","--","0.0"
"B0CHY7JSKK","X003YRJNV9","VNFLY Upgrade Snack Bowl for Stanley 40 oz Tumbler with 5 Compartments, Stanley Cup Snack Tray, Silicone Reusable Stanley Cup Snack Holder, Stanley Bowl Accessories (Pink)","ABQ1","US","8.27","7.8","1.89","inches","0.42","pounds","0.0706","cubic feet","Standard-Size","4.1","0.0","0.0071","2023-11","11.7","weeks","2.4","0.0","USD","0.0169","--","N","N","0.6716687249999999","FBA_NEW_SELECTION:0.6717","0.03"
"B07V27BG9M","X0028ME04L","Nidavellir 2-Pack Hammer Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend (Silver & Bronze)","ACY1","US","4.96","3.43","1.14","inches","0.2","pounds","0.0112","cubic feet","Standard-Size","1.17","0.0","0.0131","2023-11","11.7","weeks","2.4","0.0","USD","0.0314","--","N","N","0.0","--","0.0"
"B07V279H18","X0028QC9OP","Nidavellir 2-Pack Hammer Keychain Bottle Opener and Glove Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend","ACY1","US","4.0","3.7","1.0","inches","0.25","pounds","0.0086","cubic feet","Standard-Size","0.17","0.0","3.0E-4","2023-11","11.7","weeks","2.4","0.0","USD","7.0E-4","--","N","N","0.0","--","0.13"
"B07XX7P9F6","X002BBZPYN","Nidavellir 2-Pack Magnetic Hammer Shaped Beer Opener and Glove Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend","ACY1","US","6.46","5.28","2.2","inches","0.35","pounds","0.0434","cubic feet","Standard-Size","0.03","0.0","0.0014","2023-11","11.7","weeks","2.4","0.0","USD","0.0035","--","N","N","0.0","--","0.0"
"B07XX87R29","X002BC0MTF","Nidavellir 2-Pack Magnetic Hammer Shaped Beer Opener and Hammer Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend","ACY1","US","7.64","4.33","2.64","inches","0.33","pounds","0.0505","cubic feet","Standard-Size","13.67","0.0","0.6806","2023-11","11.7","weeks","2.4","0.0","USD","1.6296","--","N","N","0.0","--","0.2"
"B07XYXCKZ2","X002BER5QL","365Home 2-Pack Our First Home 2022 Keychain Housewarming Gift New Home Gift Realtor Closing Gifts (Our First Home 1)","ACY1","US","3.98","1.89","0.28","inches","0.04","pounds","0.0012","cubic feet","Standard-Size","0.2","0.0","2.0E-4","2023-11","11.7","weeks","2.4","0.0","USD","6.0E-4","--","N","N","0.0","--","0.0"
"B08HWTQCLL","X002NATMU5","Nidavellir Shield Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend (Bronze)","ACY1","US","2.28","1.73","0.55","inches","0.04","pounds","0.0013","cubic feet","Standard-Size","0.4","0.0","5.0E-4","2023-11","11.7","weeks","2.4","0.0","USD","0.0012","--","N","N","0.0","--","0.0"
"B0BPGJWBX2","X003KCWVET","365Home 2-Pack 2 in 1 Dumpling Maker Press, Dumpling Skin Maker Machine, Empanada Maker Press, Multifunctional DIY Manual Dumpling Press Mold Set (Orange, Green)","ACY1","US","10.63","9.8","3.9","inches","1.01","pounds","0.2351","cubic feet","Standard-Size","0.43","0.0","0.0705","2023-11","11.7","weeks","2.4","0.0","USD","0.1693","--","N","N","0.0","--","0.13"
"B0BPHZT4JJ","X003KD945H","365Home 2-Pack 2 in 1 Silicone Charger Protector with Cord Wrap, iPhone Silicone Power Adapter Case, Snapback Charger Winder, Compatible with iPhone 12/13/14 Charger (Charger not Included)","ACY1","US","4.13","3.31","1.46","inches","0.2","pounds","0.0116","cubic feet","Standard-Size","0.43","0.0","0.0042","2023-11","11.7","weeks","2.4","0.0","USD","0.0102","--","N","N","0.0","--","0.07"
