"snapshot-date","sku","fnsku","asin","product-name","condition","per-unit-volume","currency","volume-unit","country","qty-charged","amount-charged","surcharge-age-tier","rate-surcharge"
"2023-07-15T08:03:00+00:00","2K-XVBD-O0R9","X002NATMU5","B08HWTQCLL","Nidavellir Shield Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend (Bronze)","New","0.0013","USD","cubic_feet","US","1","0.00","271-300","0.0"
"2023-07-15T08:03:00+00:00","QQ-PCQL-S43B","X002L0EXYR","B08CXG45F4","365Home 2-Pack Hammer Keychain and Axe Keychain, Cool Gifts for Men, Husband, Boyfriend","New","0.0152","USD","cubic_feet","US","8","0.18","241-270","0.0225"
"2023-07-15T08:02:00+00:00","H5-MZXZ-04N5","X002UDI1W5","B08ZNH2YZW","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (2 Black & 2 White)","New","0.0613","USD","cubic_feet","US","1","0.09","241-270","0.09"
"2023-07-15T08:02:00+00:00","2K-XVBD-O0R9","X002NATMU5","B08HWTQCLL","Nidavellir Shield Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend (Bronze)","New","0.0013","USD","cubic_feet","US","1","0.00","211-240","0.0"
"2023-07-15T08:02:00+00:00","QQ-PCQL-S43B","X002L0EXYR","B08CXG45F4","365Home 2-Pack Hammer Keychain and Axe Keychain, Cool Gifts for Men, Husband, Boyfriend","New","0.0152","USD","cubic_feet","US","7","0.05","181-210","0.0071428571428571435"
"2023-07-15T08:02:00+00:00","J5-PG59-MLTR","X002HF7C9J","B085KZBCLD","365Home Metal Hammer Keychain Hammer Key Ring, Cool Gifts for Men, Husband, Boyfriend","New","0.0065","USD","cubic_feet","US","1","0.02","271-300","0.02"
"2023-07-15T08:02:00+00:00","YM-DCJF-STWH","X002BBZ4MB","B07XM2WL3W","Nidavellir 2-Pack Fist Beer Opener and Glove Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend","New","0.032","USD","cubic_feet","US","1","0.05","241-270","0.05"
"2023-07-15T08:02:00+00:00","5S-LEF4-2V5E","X001X2JGO1","B07GLJ2YNF","VNFLY Axe Keychain Hammer Keychain Hammer Key Ring, Cool Gifts for Men, Husband, Boyfriend","New","0.0056","USD","cubic_feet","US","1","0.00","181-210","0.0"
"2023-07-15T08:01:00+00:00","Chopper","X003DL3Q19","B0BC823Y5R","365Home Multifunctional Vegetable Chopper Dicing & Slitting, Veggie Chopper Dicer With Container, New Hand Pressure Cucumber Carrot Potato Onion Chopper Dicer Slicer Cutter Tool","New","0.061","USD","cubic_feet","US","1","0.03","181-210","0.03"
"2023-07-15T08:01:00+00:00","Template-set3-cut1","X003A8B6O9","B0B42L59Q7","365Home Bowl Cozy Template 3 Sizes, Bowl Cozy Pattern Template, Bowl Cozy Template Cutting Ruler Set with 40 Pcs of Sewing Pin, Roller Cutter and Manual Instruction","New","0.1076","USD","cubic_feet","US","10","4.09","271-300","0.41"
"2023-07-15T08:01:00+00:00","UV-T1KY-367W","X0030CGYG5","B09FPZNRX9","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (2 Blacks)","New","0.0286","USD","cubic_feet","US","20","2.18","271-300","0.11"
"2023-07-15T08:01:00+00:00","KG-8JKR-RC81","X002UDIWNX","B08ZNJQ2CN","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (3 Black)","New","0.0764","USD","cubic_feet","US","1","0.08","211-240","0.08"
"2023-07-15T08:01:00+00:00","H5-MZXZ-04N5","X002UDI1W5","B08ZNH2YZW","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (2 Black & 2 White)","New","0.0613","USD","cubic_feet","US","2","0.12","211-240","0.06"
"2023-07-15T08:01:00+00:00","V6-9SRV-QZIZ","X002UDI1VV","B08ZNH5HQP","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (3 White)","New","0.0668","USD","cubic_feet","US","1","0.10","241-270","0.1"
"2023-07-15T08:01:00+00:00","CY-CI3D-CHYK","X002TM7I8Z","B08XWY4F7C","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (1 Black & 1 White)","New","0.0463","USD","cubic_feet","US","52","3.62","241-270","0.07"
